Date,Overnight HRV,Baseline,7d Avg
Jan 21,35ms,32ms - 40ms,36ms
Jan 22,33ms,32ms - 40ms,35ms
Jan 23,36ms,32ms - 40ms,36ms
Jan 24,30ms,32ms - 40ms,35ms
Jan 25,32ms,33ms - 40ms,34ms
Jan 26,34ms,33ms - 40ms,34ms
Jan 27,31ms,33ms - 40ms,33ms
Jan 28,32ms,33ms - 40ms,32ms
Jan 29,36ms,34ms - 40ms,33ms
Jan 30,37ms,33ms - 40ms,33ms
Jan 31,36ms,33ms - 40ms,34ms
Feb 1,40ms,33ms - 40ms,35ms
Feb 2,36ms,33ms - 40ms,35ms
Feb 3,34ms,33ms - 40ms,36ms
Feb 4,33ms,33ms - 40ms,36ms
Feb 5,36ms,33ms - 40ms,36ms
Feb 6,35ms,33ms - 40ms,36ms
Feb 7,32ms,33ms - 40ms,35ms
Feb 8,35ms,33ms - 41ms,34ms
Feb 9,31ms,33ms - 41ms,34ms
Feb 10,34ms,33ms - 40ms,34ms
Feb 11,32ms,33ms - 40ms,34ms
Feb 12,36ms,33ms - 40ms,34ms
Feb 13,37ms,33ms - 40ms,34ms
Feb 14,35ms,33ms - 40ms,34ms
Feb 15,32ms,33ms - 40ms,34ms
Feb 16,35ms,33ms - 40ms,34ms
Feb 17,36ms,33ms - 40ms,35ms